year,Tm,playoff_wins,world_series_ind,round,hit_numBat,hit_BatAge,hit_RG,hit_G,hit_PA,hit_AB,hit_R_scored,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SB,hit_CS,hit_BB,hit_SO,hit_BA,hit_OBP,hit_SLG,hit_OPS,hit_OPS+,hit_TB,hit_GDP,hit_HBP,hit_SH,hit_SF,hit_IBB,hit_LOB,pitch_numP,pitch_PAge,pitch_RAG,pitch_W,pitch_L,pitch_WL,pitch_ERA,pitch_G,pitch_GS,pitch_GF,pitch_CG,pitch_tSho,pitch_cSho,pitch_SV,pitch_IP,pitch_H,pitch_R_allowed,pitch_ER,pitch_HR,pitch_BB,pitch_IBB,pitch_SO,pitch_HBP,pitch_BK,pitch_WP,pitch_BF,pitch_ERAplus,pitch_FIP,pitch_WHIP,pitch_H9,pitch_HR9,pitch_BB9,pitch_SO9,pitch_SOW,pitch_LOB
2005,BOS,0,0,ds,52,31.5,5.62,162,6403,5626,910,1579,339,21,199,863,45,12,653,1044,0.281,0.357,0.454,0.811,111,2557,135,47,14,63,34,1249,26,33.6,4.97,95,67,0.586,4.74,162,162,156,6,8,0,38,1429,1550,805,752,164,440,28,959,89,4,56,6227,96,4.28,1.393,9.8,1,2.8,6,2.18,1135
2005,CHW,11,1,wsw,38,29.3,4.57,162,6146,5529,741,1450,253,23,200,713,137,67,435,1002,0.262,0.322,0.425,0.747,95,2349,122,79,53,49,27,1032,17,29.3,3.98,99,63,0.611,3.61,162,162,153,9,10,4,54,1475.2,1392,645,592,167,459,42,1040,52,9,65,6176,125,4.12,1.254,8.5,1,2.8,6.3,2.27,1104
2005,HOU,7,0,wsl,36,30.2,4.25,163,6139,5462,693,1400,281,32,161,654,115,44,481,1037,0.256,0.322,0.408,0.73,90,2228,116,72,82,42,43,1136,17,30.3,3.74,89,73,0.549,3.51,163,163,157,6,11,2,45,1443,1336,609,563,155,440,29,1164,59,8,38,6023,121,3.84,1.231,8.3,1,2.7,7.3,2.65,1085
2005,LAA,4,0,cs,40,29.7,4.7,162,6186,5624,761,1520,278,30,147,726,161,57,447,848,0.27,0.325,0.409,0.734,96,2299,125,29,43,39,51,1086,18,28.5,3.97,95,67,0.586,3.68,162,162,155,7,11,3,54,1464.1,1419,643,598,158,443,24,1126,48,1,70,6158,116,3.89,1.272,8.7,1,2.7,6.9,2.54,1122
2005,NYY,2,0,ds,51,32.4,5.47,162,6406,5624,886,1552,259,16,229,847,84,27,637,989,0.276,0.355,0.45,0.805,115,2530,125,73,28,43,41,1264,28,34.2,4.87,95,67,0.586,4.52,162,162,154,8,14,4,46,1430.2,1495,789,718,164,463,25,985,84,6,37,6182,94,4.28,1.369,9.4,1,2.9,6.2,2.13,1101
2005,SDP,0,0,ds,46,31,4.22,162,6271,5502,684,1416,269,39,130,655,99,44,600,977,0.257,0.333,0.391,0.724,97,2153,122,49,72,48,41,1220,23,31,4.48,82,80,0.506,4.13,162,162,158,4,8,3,45,1455.1,1452,726,668,146,503,45,1133,46,3,36,6253,94,3.9,1.343,9,0.9,3.1,7,2.25,1161
2005,STL,5,0,cs,40,30.8,4.97,162,6246,5538,805,1494,287,26,170,757,83,36,534,947,0.27,0.339,0.423,0.762,98,2343,127,62,77,35,60,1152,20,29.7,3.91,100,62,0.617,3.49,162,162,147,15,14,7,48,1445.2,1399,634,560,153,443,27,974,60,5,41,6047,122,4.09,1.274,8.7,1,2.8,6.1,2.2,1076
2006,DET,8,0,wsl,40,29.3,5.07,162,6198,5642,822,1548,294,40,203,785,60,40,430,1133,0.274,0.329,0.449,0.777,99,2531,120,45,45,36,27,1068,19,28.8,4.17,95,67,0.586,3.84,162,162,159,3,16,1,46,1448,1420,675,618,160,489,35,1003,53,2,44,6145,118,4.32,1.318,8.8,1,3,6.2,2.05,1126
2006,LAD,0,0,ds,50,29.8,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,0.276,0.348,0.432,0.781,99,2434,140,51,66,48,61,1223,22,30.4,4.64,88,74,0.543,4.23,162,162,161,1,10,0,40,1460.1,1524,751,686,152,492,40,1068,41,8,54,6289,107,4.13,1.381,9.4,0.9,3,6.6,2.17,1157
2006,MIN,0,0,ds,39,28.3,4.94,162,6228,5602,801,1608,275,34,143,754,101,42,490,872,0.287,0.347,0.425,0.771,101,2380,163,50,31,55,46,1143,17,26.9,4.22,96,66,0.593,3.95,162,162,161,1,6,0,40,1439.1,1490,683,632,182,356,25,1164,36,3,40,6066,114,3.99,1.283,9.3,1.1,2.2,7.3,3.27,1065
