,year,hit_numBat,hit_BatAge,hit_RG,hit_G,hit_PA,hit_AB,hit_R_scored,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SB,hit_CS,hit_BB,hit_SO,hit_BA,hit_OBP,hit_SLG,hit_OPS,hit_OPS+,hit_TB,hit_GDP,hit_HBP,hit_SH,hit_SF,hit_IBB,hit_LOB,pitch_numP,pitch_PAge,pitch_RAG,pitch_W,pitch_L,pitch_WL,pitch_ERA,pitch_G,pitch_GS,pitch_GF,pitch_CG,pitch_tSho,pitch_cSho,pitch_SV,pitch_IP,pitch_H,pitch_R_allowed,pitch_ER,pitch_HR,pitch_BB,pitch_IBB,pitch_SO,pitch_HBP,pitch_BK,pitch_WP,pitch_BF,pitch_ERAplus,pitch_FIP,pitch_WHIP,pitch_H9,pitch_HR9,pitch_BB9,pitch_SO9,pitch_SOW,pitch_LOB
hit_BB,-0.38523759462471996,-0.04115685629811557,0.3520790699078056,0.6262925473303631,0.10477076767786726,0.5594235495490456,0.14918738971818438,0.6491531704648862,0.2919222088543487,0.28660846189766537,-0.06867643734978696,0.40858577099495924,0.6475895147128575,0.0657956269299537,0.06759612806924235,1.0,-0.0745659260470023,0.28913221036086256,0.7486447629900298,0.4649925988639142,0.6084199126101816,0.4097232266750356,0.4517115090083233,0.22093445253490016,0.0803658100658088,-0.10616085394278572,0.3770869149487803,0.16010764066423125,0.7195820472511446,-0.06018097329085201,0.3579927897446865,0.41254778235015704,0.20069023531582988,-0.13781128554348637,0.17249718212808082,0.4122184443976751,0.10477076767786726,0.10477076767786726,-0.045314537953770925,0.15064659910216444,-0.24549013242197643,0.026650212973447204,-0.16750946652088736,0.04892980312782105,0.3061247467508846,0.4412084922132857,0.4377558197984646,0.22498517121402825,0.39689987379515806,0.1541452503542878,-0.17761271702489018,0.12070642431391465,-0.08135542908621558,-0.15125447198053307,0.32822610576172595,-0.14130366521121532,0.36909926049108216,0.4024392578010235,0.2816528964703953,0.18236975806345918,0.38195254239303383,-0.19977810229158216,-0.34375295481033796,0.30006679526270963
hit_SO,0.5989609635848525,0.24782854851914457,-0.3347321148189059,-0.40461841379377994,0.29878485959239054,0.03840014457691083,0.09036540364877733,-0.3322624018546752,-0.4148978080835252,-0.11973337189102284,-0.039658449206552766,0.055531027600218615,-0.32254323512573146,-0.14357842847171368,-0.23032708479234393,-0.0745659260470023,1.0,-0.603467804674487,-0.4687082904265736,-0.3107030712359918,-0.3918537340408835,-0.10359763570869704,-0.21986768878156354,-0.31766785997109603,0.23255553344790444,-0.060849831929974126,-0.3218399999505468,-0.26379846188120354,-0.07285749910363314,0.36166956391653243,-0.17460612708946976,-0.37258112689290357,0.026504097523740854,0.1784685944344557,-0.09866948344317125,-0.36616627891065556,0.29878485959239054,0.29878485959239054,0.35199959930293656,-0.2487042799319027,0.25250075261463306,-0.08740634927464669,0.05437621258478991,0.3453849201869753,-0.26905369027952647,-0.3064824074491736,-0.2957791715316303,-0.061625628706249214,-0.1706446756003812,-0.009536464229044165,0.5566863302030677,0.0927540677023896,-0.01243374659845435,0.11890200546126212,0.047679318496777263,0.02977312032675514,-0.3496165528834805,-0.4248804424591016,-0.40661545068408556,-0.10467071292000595,-0.24153833681653913,0.5095768609445546,0.4648238552325864,-0.12483410460027293
hit_BA,-0.459760149340474,-0.10903080282278199,0.27682135140464614,0.797329113425224,-0.10483173918494715,0.3530495306281528,0.2806850679141524,0.7683398171877858,0.8908774873495111,0.4833944218807016,0.022675134050143084,0.22961335712946374,0.7546454440368564,0.1781520908994382,0.19856010719509046,0.28913221036086256,-0.603467804674487,1.0,0.8342608054999112,0.7232384039269258,0.811172985814119,0.566321416350297,0.7170609636747451,0.43739782867154486,-0.1742395553343685,-0.13229690143665157,0.5260699286920918,0.08585202096209826,0.37544564808877623,-0.10981703811779178,0.2997805888282312,0.589808450825381,0.14503058377768308,-0.21769335378354343,0.19602438204088515,0.583637495348759,-0.10483173918494715,-0.10483173918494715,-0.10862687254139891,0.06629215241455301,-0.3975194767101676,-0.06877562081291388,-0.1569290860345269,-0.1756222522176733,0.4575371650854851,0.5679741556915004,0.5587527948346206,0.2585586370900375,0.26903113743515356,-0.1292924221400379,-0.41007213526431047,0.10389079961970478,-0.11592696910928922,0.03957113487805128,0.2040566744051797,-0.15919688313541527,0.46304589030914645,0.54306358744962,0.5277454227864261,0.26812012104948046,0.3001251407051461,-0.3962644153927925,-0.42894996767306975,0.19934469990954454
hit_OBP,-0.5477641807402315,-0.08581120782068342,0.3753878088910854,0.899912842727338,-0.10779571856775352,0.4724901405537771,0.17355305902862356,0.8700411645875686,0.7159334164705748,0.46233654998700446,-0.029054264477523926,0.3870055194777801,0.8604595845651133,0.1672249816079994,0.18741505356895535,0.7486447629900298,-0.4687082904265736,0.8342608054999112,1.0,0.7625769273983393,0.9044301305564064,0.618572830207362,0.7070846946810646,0.3938325140083634,0.009879698976421469,-0.1337430629738785,0.5249548894811833,0.14785295846038343,0.6165937860298044,-0.09070386150160346,0.4002494083141571,0.6343241082939963,0.18679335738369396,-0.2651500495903315,0.2436294667177438,0.6301912941418499,-0.10779571856775352,-0.10779571856775352,-0.16134451716125678,0.13814587222689023,-0.4116548731951049,-0.023435726158683872,-0.22503321569579532,-0.1896476264556428,0.4411556094468299,0.6130070601890524,0.6041356605942241,0.291577203031104,0.3913157911070258,-0.03210376801173545,-0.40826412552590774,0.14526970731148334,-0.12666045706508572,-0.04858638832673184,0.23434488793259362,-0.1814118837271143,0.5298183377576877,0.5985025807143204,0.5162450751580349,0.2878330912099663,0.42511936817407264,-0.3900266535105593,-0.494631590740576,0.25672836863904575
hit_SLG,-0.4154683896833139,-0.05389253701662181,0.28767368777579727,0.8958277075141154,-0.08713306377726125,0.35711879900303617,0.19813162025633882,0.8698308224039227,0.6412943658783278,0.4855970332093203,-0.09593610197143064,0.7986486059539687,0.8791645624181686,0.070479918664039,0.047187429661113965,0.4649925988639142,-0.3107030712359918,0.7232384039269258,0.7625769273983393,1.0,0.9655390173581835,0.6444306310866704,0.9126689287093661,0.21853498566545176,0.029237771721596948,-0.2195848793335702,0.3752536650832896,-0.013598895710925,0.2510529500709073,0.014728470190188692,0.3801846861017973,0.6686248585851841,0.19727337021641425,-0.26143112126601814,0.24707080406992127,0.6512102502681385,-0.08713306377726125,-0.08713306377726125,-0.08375331176452286,0.04588982383481331,-0.4502941184225993,-0.12065976823186836,-0.20143572812965335,-0.16970443120397458,0.4590598368119171,0.6520612643874886,0.6317292524067766,0.47891808104901995,0.3222308248531418,-0.10406600586430004,-0.37629180553205754,0.19028498750061001,-0.14909429424354745,-0.028880029850608457,0.2376226319029049,-0.14762860744922,0.5818145746815635,0.5682149611106216,0.5254644315788835,0.46944716147499566,0.34597892556191756,-0.3636325584092454,-0.4371672768874252,0.17594946987943685
hit_OPS,-0.4936140682568912,-0.06804951569263948,0.34133942000638734,0.9520973682110198,-0.1000207437318197,0.42610122463910083,0.2007025355140109,0.9231531929031805,0.7099851151137657,0.5053197569844361,-0.0744694884110352,0.6827774093305926,0.9254197127280689,0.11450753218223547,0.10736410951520838,0.6084199126101816,-0.3918537340408835,0.811172985814119,0.9044301305564064,0.9655390173581835,1.0,0.6730408531547807,0.8859483585620574,0.3017733891414629,0.0241678457182941,-0.19809317689227027,0.4576941369183989,0.051412782008367554,0.4142021516986678,-0.025554969635216356,0.41276775892519757,0.696168097989679,0.20520103442965615,-0.2785795599888079,0.26058401654160257,0.6831434388227176,-0.1000207437318197,-0.1000207437318197,-0.11997289415690897,0.0862695794345127,-0.46328193913117816,-0.08815774463761972,-0.22239630907270397,-0.18729250415685,0.48111016824784525,0.6768868833872396,0.6600413265853672,0.4337964865501392,0.3703605158438941,-0.08109153313045175,-0.41270491387906566,0.18503071571231552,-0.14914325432449063,-0.039824802773071155,0.25221596099924964,-0.17106412072219213,0.5975584673062849,0.6159744157200567,0.5547778545781077,0.42602561880573975,0.3993650798576906,-0.3971804234317774,-0.487979023537642,0.22086880011760984
hit_OPS+,-0.06286203706564365,0.07240187606978063,0.22499900489564525,0.6510191332699782,-0.009035534193336421,0.34731170367911723,0.23620258322757115,0.6453677104163994,0.540500765671493,0.43256787283435816,-0.16233912264199438,0.45803565850674455,0.6557087483704666,0.02810401698740937,-0.06771914603771888,0.4097232266750356,-0.10359763570869704,0.566321416350297,0.618572830207362,0.6444306310866704,0.6730408531547807,1.0,0.6342709200298706,0.25723044308979554,0.0907336146611959,-0.40073252654793995,0.32203913218694347,-0.09134700976062723,0.32998025438200196,0.11777163580005284,0.3277872313720753,0.3027414776530623,0.31466157361465197,-0.32598437340326736,0.33996322629956577,0.3013263183546564,-0.009035534193336421,-0.009035534193336421,-0.0014894526295165336,-0.005383933706431623,-0.13222210586188854,-0.054182360188178534,-0.13361774568030943,-0.04758047181514899,0.20354460697664378,0.3037639371849952,0.3009825372629602,0.12370230464967827,0.06513971939560835,-0.2268085119606008,-0.14285281135573427,0.17333655279065685,-0.24625431164457925,0.19424243690739143,0.10461505484099777,-0.3448405622971491,0.1561050344559083,0.19974065222578327,0.2151599083208728,0.08743014006189076,0.0853719681707777,-0.1401805608797707,-0.12144359180709491,0.0017999943948596225
hit_TB,-0.2661921507134691,-0.0554886513623086,0.31336042990968277,0.8390624711218599,0.28703953334654997,0.6691571833625632,0.5805302868023641,0.9026887651618634,0.81777591588336,0.6035752761556462,-0.08100599397815686,0.7455835344706757,0.9106746134298397,0.04627567790981101,-0.01832823071870975,0.4517115090083233,-0.21986768878156354,0.7170609636747451,0.7070846946810646,0.9126689287093661,0.8859483585620574,0.6342709200298706,1.0,0.291847045344623,0.07342453254835046,-0.2635319495687099,0.41637866647486865,0.004769978129081901,0.4398041538504049,0.012460203603418022,0.40961222544619785,0.5978682899996481,0.32264374432713955,-0.13545542465505733,0.22478242293837378,0.5855340799730365,0.28703953334654997,0.28703953334654997,0.18903201101873174,-0.02871981960272109,-0.38776016205082986,-0.15739949556802427,-0.11067382065809243,0.21593895254799708,0.5700654481369446,0.6681231145928885,0.6560604584172538,0.5137052144045043,0.3105858075000191,-0.07112032275742054,-0.23920737920255106,0.28042683140695984,-0.19766111473636297,-0.04030705864819738,0.5436945616587618,-0.14510280322390995,0.5129186828606234,0.481882225276139,0.47400817144938273,0.4504313741869283,0.25370957510172315,-0.30782932008685526,-0.3457218073678978,0.3182452902998892
hit_GDP,-0.0630208594010077,-0.029494258654506274,0.19570919641095708,0.24598913047834592,0.16869074680305327,0.2900954890655893,0.2657910863031928,0.2834379030352052,0.4554072903080357,0.23448620482586455,-0.28995210441506897,0.05065783959465034,0.2781810482714988,-0.2456325815219744,-0.1446605612287755,0.22093445253490016,-0.31766785997109603,0.43739782867154486,0.3938325140083634,0.21853498566545176,0.3017733891414629,0.25723044308979554,0.291847045344623,1.0,-0.1386490383786356,-0.18869355765374277,0.181902605445453,-0.009733807877829131,0.2380944164281585,0.017726575427996036,0.08528377584663951,0.23706990194740196,0.030859701039217834,0.08062323665764586,-0.034802435305131586,0.24151652447304975,0.16869074680305327,0.16869074680305327,0.19223088591053517,-0.13124755107970734,-0.15644720306919804,-0.16428376166312225,-0.029119750128757702,0.12911354025963226,0.3566807318795669,0.27739510060294953,0.2783040031414382,0.03871142604376139,0.06401906656759705,0.05538536679507831,-0.07095242446823297,0.016223600679029126,-0.1938885160992339,0.05961682704035014,0.2774855666807415,-0.0662457578176798,0.08154126239926077,0.23858497566742243,0.31120686775664463,0.0031688822489069233,0.0412641621164046,-0.105118499457895,-0.07272777587890186,0.21039507258999385
hit_HBP,0.2013212652503422,0.09702716663381801,0.02436642018874495,0.02520827283383595,0.20531621980064482,0.19890989056511496,0.11707710059468673,0.07154950667525177,-0.07848259336433215,0.14022116795436412,-0.06143136358246992,0.16208105319231034,0.0844612836155951,0.010362727020365736,-0.08059383469456212,0.0803658100658088,0.23255553344790444,-0.1742395553343685,0.009879698976421469,0.029237771721596948,0.0241678457182941,0.0907336146611959,0.07342453254835046,-0.1386490383786356,1.0,-0.0516906533867385,-0.11068363551696564,0.008465985805339768,0.16054111769678275,0.18793593398487562,0.1305947654401514,-0.09891533640717773,0.21848858993852416,-0.08757550469456891,0.14859796468406022,-0.08700416630255632,0.20531621980064482,0.20531621980064482,0.1949543634835215,-0.10475253009645731,0.09257508905261602,-0.03792115252525667,0.0421891417601272,0.20337796417012485,-0.03679115685753851,-0.05459008135049067,-0.04230080835403507,0.11747878013492571,-0.07319391153730226,-0.17348287975988244,0.07520456151515306,0.3474915057422795,-0.18421598244410628,0.011235196467393758,0.10349138724724118,0.06772604944636182,-0.004715687675905057,-0.1474337701868559,-0.12378230177992647,0.0827561826064687,-0.11562528632587439,0.03391692035902521,0.08780592090038918,-0.017051957442211375
hit_SH,-0.22459037484861105,-0.1725068185280771,0.05336828792415226,-0.23808675366677035,-0.01897042081394792,-0.10291058367899707,-0.19091160606679308,-0.24146879095580953,-0.19004161271291287,-0.2887080108929331,0.2692429156093684,-0.22514196768708558,-0.2584503493168611,0.11920299803538628,0.23480062700521653,-0.10616085394278572,-0.060849831929974126,-0.13229690143665157,-0.1337430629738785,-0.2195848793335702,-0.19809317689227027,-0.40073252654793995,-0.2635319495687099,-0.18869355765374277,-0.0516906533867385,1.0,-0.1613887213606819,0.46496080403793955,-0.024431398486869572,-0.16959224650197863,-0.11361318931197269,-0.16060651347143798,-0.12322692309286466,0.11507485551687648,-0.12649539547555957,-0.18314524152005907,-0.01897042081394792,-0.01897042081394792,-0.0630214847766172,0.07312073197341355,0.07326417986820058,0.19938257106123258,-0.0375317286946187,0.009542402947287374,-0.1240533463399159,-0.168261941388049,-0.18709890483375563,-0.1845530275545472,0.18304115886607183,0.3848981270630966,-0.04503506111201419,-0.18748632053809816,0.21135055993965082,-0.13520106023112294,-0.018240456541356444,0.06058949371388952,-0.0493315819799596,-0.0006563453359716754,-0.12628072917083452,-0.16993555191804166,0.17313135738823043,-0.05201821781145696,-0.15510598097970296,0.1508986534899749
